Date,Open,High,Low,,Close,Volume
29-06-2018,241,248.350006,240.5,,238.420975,171599
02-07-2018,243,247,235,,232.505661,110304
03-07-2018,236.199997,244.149994,236.199997,,237.492111,86167
04-07-2018,241.199997,243.300003,234.050003,,231.332382,121241
05-07-2018,236.899994,241.699997,236.050003,,231.919022,77181
06-07-2018,237.300003,241,235.149994,,230.647949,64335
09-07-2018,237.5,240.949997,236.550003,,234.75444,59679
10-07-2018,242,253.300003,240,,243.309662,151416
11-07-2018,249.199997,251.5,240,,238.909836,96252
12-07-2018,244.649994,246.649994,236.949997,,232.994522,104232
13-07-2018,239,243.699997,231,,234.118912,156976
16-07-2018,239.449997,239.449997,228.050003,,224.48822,87235
17-07-2018,231,235.5,225,,221.897217,111614
18-07-2018,227.899994,229.699997,217.5,,217.546295,158898
19-07-2018,223.399994,228.449997,217,,215.933044,157614
20-07-2018,220,223,217,,213.733109,112674
23-07-2018,218.600006,221,215.5,,212.462051,79887
24-07-2018,219.050003,232.800003,218.600006,,226.737,169177
25-07-2018,232.949997,233.899994,226.5,,227.671097,74439
26-07-2018,233.899994,234.399994,230,,228.850998,110974
27-07-2018,234.350006,239.5,232.100006,,233.128128,103218
30-07-2018,238.5,245,232.149994,,237.798553,131921
31-07-2018,241.850006,243.800003,237.699997,,237.601898,93222
01-08-2018,242.800003,245,238,,237.847717,100737
02-08-2018,243,243,237.300003,,236.127029,79687
03-08-2018,240.800003,243,232.399994,,236.962799,162786
06-08-2018,243.399994,252.5,239.050003,,246.254486,377076
07-08-2018,253.5,270,253.5,,261.691498,505079
08-08-2018,265,276.200012,262.399994,,259.479187,275999
09-08-2018,266.5,282.950012,266.5,,276.096069,470176
10-08-2018,283.799988,292,280.049988,,278.406677,451057
13-08-2018,282,289,275,,272.949707,185386
14-08-2018,278.75,284.5,275.25,,274.621185,168559
16-08-2018,280,286.600006,277.75,,274.572021,138284
17-08-2018,280.899994,283.799988,273.600006,,271.229004,121056
20-08-2018,277,283,264.799988,,272.113922,173864
21-08-2018,278,278,271.100006,,268.672546,98358
23-08-2018,274.649994,278,266.75,,268.279266,210872
24-08-2018,270.100006,274.399994,264,,261.691498,117899
27-08-2018,268.399994,272,265.299988,,263.01886,73580
28-08-2018,268.399994,271.899994,263.200012,,260.708221,161389
29-08-2018,266.100006,267.899994,263.25,,260.069122,108320
30-08-2018,264,267.850006,258,,255.005402,112408
31-08-2018,258.850006,270.950012,255,,256.873566,344533
03-09-2018,263.149994,266.899994,259,,256.234467,237826
04-09-2018,261,262.799988,255,,255.251205,138294
05-09-2018,259,259.75,250.5,,250.236649,133303
06-09-2018,256.600006,257.700012,251.75,,250.728271,81885
07-09-2018,256,260.049988,252,,253.03891,388130
10-09-2018,255.100006,259.200012,250.300003,,246.795273,143387
11-09-2018,253.350006,259.149994,251,,250.285812,854240
12-09-2018,253.25,256,249,,249.056747,509264
14-09-2018,254.949997,276.700012,254.100006,,269.262482,1120726
17-09-2018,272.700012,275,263.850006,,263.01886,365252
18-09-2018,268.950012,277.399994,265.5,,264.592072,625334
19-09-2018,271.600006,291.600006,271,,284.355377,1213161
21-09-2018,292.049988,303.5,262,,272.212219,1946885
